id	filename	md5	size	state
0276c463-035d-4603-b2c7-0464b274ab7e	0276c463-035d-4603-b2c7-0464b274ab7e/0c13ed64-0826-4f4b-934d-d4716d4bf10e.rna_seq.augmented_star_gene_counts.tsv	e54667a35a4e45cc709eb4e84293d839	4222516	validated
031f846b-355e-42c2-a709-a0c5f425d351	031f846b-355e-42c2-a709-a0c5f425d351/81d9a09e-f613-48a0-a3b0-b291a85fd8d3.rna_seq.augmented_star_gene_counts.tsv	4006443b44d0068c30bf6facf1b7e586	4226103	validated
03e98ec7-11e1-4f37-a189-93beb2bbf35c	03e98ec7-11e1-4f37-a189-93beb2bbf35c/4ce33e64-f812-4935-adac-ce4d6b030169.rna_seq.augmented_star_gene_counts.tsv	cabb79a0edc807e348cea6742ee04f48	4252180	validated
04d4fbb7-1bd3-48bf-a88d-3232e7a9332e	04d4fbb7-1bd3-48bf-a88d-3232e7a9332e/1e18a7d5-10bd-4bf1-a44d-f518ade40c16.rna_seq.augmented_star_gene_counts.tsv	76eb010da006a43c058b4e5689649f61	4228807	validated
07e9f04d-1328-4240-82fd-9238e0999bd5	07e9f04d-1328-4240-82fd-9238e0999bd5/1ea07f49-c021-4c9f-8d70-8c6f7bd9ff9f.rna_seq.augmented_star_gene_counts.tsv	f1d0ea40296a3cbf1b78604d3f29c0fd	4220451	validated
09290f81-e508-428a-b9ec-b13bd1e3920b	09290f81-e508-428a-b9ec-b13bd1e3920b/a7d884bf-e803-4873-a1d7-ad363e58763f.rna_seq.augmented_star_gene_counts.tsv	316fa4bd96dbcfdebeb8ce16368a0039	4222920	validated
09e7c7c2-e2ef-41dd-9e3b-f83632ef6f02	09e7c7c2-e2ef-41dd-9e3b-f83632ef6f02/34df0148-fe66-453b-bc86-5a213756b9e0.rna_seq.augmented_star_gene_counts.tsv	a71866a5a0a71a1b4af04c186a263aa5	4215244	validated
0a2a6d4e-ab26-4a9f-87a0-d95c19cba9a7	0a2a6d4e-ab26-4a9f-87a0-d95c19cba9a7/d07f5668-94f6-49e8-bfd1-eb01f4f2f865.rna_seq.augmented_star_gene_counts.tsv	540990b809cba61ac02657307e5b8240	4216560	validated
0b243f09-a843-46a1-9b56-a5e3ca1cedc7	0b243f09-a843-46a1-9b56-a5e3ca1cedc7/3cd7007b-5825-4668-8da1-36638e830fd9.rna_seq.augmented_star_gene_counts.tsv	44cd028d9e1da1734f2654a5b1968080	4208115	validated
0bf70ae0-7cd3-4397-bbd9-1377e939440a	0bf70ae0-7cd3-4397-bbd9-1377e939440a/56b5f24c-6220-48ad-afd3-f39022855f6c.rna_seq.augmented_star_gene_counts.tsv	a9c18bfb39388a954de65ba56a9d6c2f	4225150	validated
